# Dansk Branchekode 2025 (DB25), alle 6-cifrede koder. Kilde: Danmarks Statistik,
# https://www.dst.dk/klassifikationsbilag/aa99c1bd-2d93-479a-8fb0-70d1b235467ecsv_da (hentet 2026-09-03).
# Format: kode;titel. Bruges af src/lib/__tests__/branchekode.test.ts til at køre HELE registret gennem motoren.
775200;Formidlingsaktiviteter inden for udlejning og leasing af andre materielle aktiver og ikke-finansielle immaterielle aktiver
781000;Arbejdsformidlingskontorers aktiviteter
782000;Vikarbureauers aktiviteter og anden personaleformidling
791100;Rejsebureauers aktiviteter
791200;Rejsearrangørers aktiviteter
799000;Andre reservationstjenesteydelser og tjenesteydelser i forbindelse hermed
800100;Efterforskning og private vagt- og sikkerhedsaktiviteter
800900;Vagt- og sikkerhedsaktiviteter i.a.n.
811000;Levering af kombinerede hjælpetjenester i forbindelse med drift af fast ejendom
812100;Almindelig rengøring i bygninger
812210;Vinduespolering
812220;Skorstensfejning
812290;Anden rengøring af bygninger og rengøring af erhvervslokaler i.a.n.
812300;Anden rengøring
813000;Landskabspleje
821000;Administrations- og kontorserviceaktiviteter
822000;Drift af callcentre
823000;Organisering af kongresser, messer og udstillinger
824000;Formidlingsaktiviteter inden for forretningsservice i.a.n.
829100;Inkassoaktiviteter og kreditoplysning
829200;Pakkeriaktiviteter
829900;Andre forretningsserviceaktiviteter i.a.n.
841100;Generelle offentlige forvaltningsaktiviteter
841200;Administration af sundhedsvæsen, undervisning, kultur og sociale forhold
841300;Administration af og bidrag til erhvervsfremme
842100;Udenrigsanliggender
842200;Aktiviteter inden for forsvar
842300;Aktiviteter inden for retsvæsen
842400;Aktiviteter inden for offentlig sikkerhed og orden
842500;Aktiviteter inden for brandvæsen
843000;Aktiviteter inden for lovpligtig socialsikring
851000;Førskoleundervisning
852010;Undervisning på almene grundskoler
852020;Undervisning på specialskoler for børn med funktionsnedsættelser
853110;Undervisning på ungdoms- og efterskoler
853120;Undervisning på gymnasier, studenter- og HF-kurser
853200;Undervisning på erhvervsfaglige skoler
853300;Videregående uddannelse, ikke på universitetsniveau
854000;Videregående uddannelse på universitetsniveau
855100;Undervisning inden for sport og fritid
855200;Undervisning i kulturelle discipliner
855300;Drift af køreskoler
855900;Anden undervisning i.a.n.
856100;Formidlingsaktiviteter i forbindelse med kurser og undervisere
856900;Levering af hjælpeydelser i forbindelse med undervisning i.a.n.
861000;Aktiviteter inden for hospitalsvæsen
862100;Alment praktiserende lægers aktiviteter
862200;Speciallægers aktiviteter
862300;Tandlægers aktiviteter
869100;Billeddiagnostiske undersøgelser og medicinske laboratorieaktiviteter
869200;Patienttransport med ambulance
869300;Psykologisk og psykoterapeutisk rådgivning
869400;Sundhedspleje, hjemmesygepleje, jordemoderaktiviteter mv.
869500;Fysio- og ergoterapi
869600;Traditionelle, komplementære og alternative behandlingsformer
869700;Formidlingsaktiviteter inden for læge- og tandlægeaktiviteter samt sundhedsvæsen i øvrigt
869900;Drift af sundhedsvæsen i øvrigt i.a.n.
871010;Drift af plejehjem
871020;Institutionsophold med sygepleje i.a.n.
872010;Drift af døgninstitutioner for personer med psykiske handicap
872020;Drift af behandlingshjem for stofmisbrugere og alkoholskadede
873010;Drift af døgninstitutioner for personer med fysisk handicap
873020;Drift af beskyttede boliger o. lign.
879100;Formidlingsaktiviteter i forbindelse med institutionsophold
879910;Drift af døgninstitutioner for børn og unge
879920;Familiepleje
879930;Drift af flygtninge- og asylcentre
879990;Drift af andre former for institutionsophold
881010;Drift af hjemmehjælp
881020;Drift af dagcentre mv.
881030;Drift af revalideringsinstitutioner
889110;Drift af dagpleje
889120;Drift af vuggestuer
889130;Drift af børnehaver
889140;Drift af skolefritidsordninger og fritidshjem
889150;Drift af aldersintegrerede institutioner
889160;Drift af fritids- og ungdomsklubber
889910;Støtteaktiviteter relateret til sygdomsbekæmpende, sociale og velgørende formål
889920;Aktiviteter til støtte for flygtninge- og katastrofeofre mv.
889990;Andre sociale støtte- og rådgivningsaktiviteter uden institutionsophold
901100;Litteratur- og musikkomposition
901200;Billedkunstnerisk skaben
901300;Anden kunstnerisk skaben
902010;Teater- og koncertproduktioner
902020;Selvstændigt udøvende scenekunstnere
903100;Drift af teater- og koncertsale, kulturhuse mv.
903910;Teknisk planlægning, levering, opsætning og betjening af udstyr til events
903920;Levering af andre serviceydelser i forbindelse med kunstnerisk skaben og scenekunst i.a.n.
911100;Biblioteksaktiviteter
911200;Arkivaktiviteter
912100;Museumsaktiviteter og aktiviteter i forbindelse med samlinger
912200;Drift og bevarelse af fortidsminder, mindesmærker mv.
913000;Konservering, restaurering og andre serviceydelser inden for kulturarv
914100;Drift af botaniske og zoologiske haver
914200;Drift af naturreservater
920000;Lotteri- og andre spilleaktiviteter
931100;Drift af sportsanlæg
931200;Drift af sportsklubber
931300;Drift af fitnesscentre
931900;Sportsaktiviteter i.a.n.
932100;Drift af forlystelsesparker o.lign.
932910;Drift af lystbådehavne
932990;Drift af andre forlystelser og fritidsaktiviteter
941100;Erhvervs- og arbejdsgiverorganisationers aktiviteter
941200;Faglige sammenslutningers aktiviteter
942000;Fagforeningers aktiviteter
949100;Religiøse institutioners og foreningers aktiviteter
949200;Politiske partiers aktiviteter
949900;Andre organisationers og foreningers aktiviteter i.a.n.
951000;Reparation og vedligeholdelse af computere og kommunikationsudstyr
952100;Reparation og vedligeholdelse af forbrugerelektronik
952200;Reparation og vedligeholdelse af husholdningsapparater og redskaber til hus og have
952300;Reparation og vedligeholdelse af fodtøj og lædervarer
952400;Reparation og vedligeholdelse af møbler og boligudstyr
952500;Reparation og vedligeholdelse af ure og smykker
952900;Reparation og vedligeholdelse af varer til personlig brug og husholdningsbrug i.a.n.
953110;Dækservice
953120;Reparation og lakering af karosseri samt undervognsbehandling
953190;Reparation og vedligeholdelse af motorkøretøjer i.a.n.
953200;Reparation og vedligeholdelse af motorcykler
954000;Formidlingsaktiviteter i forbindelse med reparation og vedligeholdelse af computere, varer til personlig brug og husholdningsbrug samt motorkøretøjer og motorcykler
961010;Drift af erhvervs- og institutionsvaskerier
961020;Drift af renserier og selvbetjeningsvaskerier mv.
962100;Drift af frisør- og barbersaloner
962200;Skønhedspleje og anden skønhedsbehandling
962300;Drift af dagspa, saunaer og dampbade
963000;Drift af bedemandsforretninger og begravelsesvæsen
964000;Formidlingsaktiviteter inden for personlige serviceydelser
969100;Levering af personlige serviceydelser i hjemmet
969900;Andre personlige serviceydelser i.a.n.
970000;Aktiviteter i husholdninger med ansat medhjælp
981000;Private husholdningers produktion af udifferentierede varer til eget brug
982000;Private husholdningers produktion af udifferentierede tjenesteydelser til eget brug
990010;Ambassaders eksterritoriale aktivitet
990020;Andre eksterritoriale organisationers og organers aktiviteter
